,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
강원,강릉,옥천동,98.95,28,666,665,0.4,0.1,1.0,2019020303,,,0.2,0.8,201902242205,,
강원,원주,중앙동,99.25,28,672,667,0.6,0.2,2.2,2019020319,,,0.5,1.6,201902031219,,
강원,원주,명륜동,99.10,28,672,666,0.8,0.2,2.0,2019020314,,,0.6,1.6,201902031118,,
강원,원주,문막읍,99.70,28,672,670,0.6,0.3,1.3,2019021010,,,0.5,1.0,201902220108,,
강원,동해,천곡동,98.95,28,666,665,0.5,0.2,2.0,2019022410,,,0.3,1.0,201902220310,,
강원,삼척,남양동,98.95,28,672,665,0.4,0.2,1.9,2019022407,,,0.3,1.2,201902240209,,
강원,평창,평창읍,99.10,28,672,666,0.4,0.1,1.0,2019020323,,,0.3,0.9,201902072306,,
강원,양양,양양군,99.55,28,672,669,0.6,0.1,1.3,2019020322,,,0.1,1.2,201902030411,,
강원,속초,속초시,99.70,28,672,670,0.7,0.3,2.2,2019022205,,,0.5,1.7,201902220108,,
강원,영월,영월읍,99.85,28,672,671,0.5,0.3,1.1,2019022210,,,0.4,1.0,201902030714,,
강원,철원,철원군,99.25,28,672,667,0.6,0.4,1.1,2019022023,,,0.5,1.0,201902211902,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,
  * 경남 가음정동 측정소 : 측정소 이전으로 인한 시험가동,,,,,,,,,,,,,,,,,
강원,홍천,홍천읍,99.70,28,667,670,0.6,0.3,1.2,2019020622,,,0.6,1.2,201902072104,,
강원,화천,화천군,100.00,28,667,672,0.7,0.1,1.4,2019022103,,,0.2,1.3,201902210108,,
강원,태백,태백시,96.42,27,642,648,0.4,0.1,1.9,2019022109,,,0.2,0.9,201902220310,,
충북,괴산,괴산읍,99.70,28,667,670,0.6,0.3,1.2,2019020124,,,0.5,1.0,201902132205,,
