  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,이천,창전동,131442,99.86,31,743,0.005,0.003,0.019,2019051710,,,0.004,0.006,20190503,,
경기,이천,장호원읍,131443,99.19,31,738,0.004,0.002,0.008,2019050321,,,0.003,0.005,20190504,,
경기,파주,금촌동,131371,99.32,31,739,0.003,0.001,0.010,2019050423,,,0.002,0.005,20190503,,
경기,파주,운정,131372,95.96,29,714,0.003,0.001,0.012,2019050315,,,0.002,0.007,20190522,,
경기,포천,선단동,131453,98.92,31,736,0.005,0.003,0.008,2019050316,,,0.004,0.006,20190503,,
경기,포천,일동면,131454,95.56,29,711,0.004,0.002,0.011,2019052608,,,0.003,0.005,20190503,,
경기,여주,여주,131591,91.39,27,680,0.003,0.002,0.016,2019050512,,,0.002,0.005,20190504,,
경기,연천,연천,131601,99.46,31,740,0.004,0.002,0.007,2019050320,,,0.003,0.004,20190503,,
경기,가평,가평읍,131611,99.73,31,742,0.003,0.002,0.005,2019050317,,,0.002,0.004,20190530,,
경기,양평,양평,131621,99.19,31,738,0.003,0.001,0.009,2019050412,,,0.002,0.004,20190504,,
강원,양구,양구읍,132402,99.05,31,737,0.002,0.001,0.005,2019050108,,,0.001,0.003,20190504,,
강원,고성,상리,632441,99.59,31,741,0.002,0.001,0.008,2019051117,,,0.001,0.003,20190508,,
강원,정선,정선읍사무소,632372,98.92,31,736,0.002,0.001,0.005,2019052209,,,0.001,0.003,20190508,,
강원,횡성,횡성군,632432,99.46,31,740,0.002,0.001,0.007,2019050411,,,0.001,0.003,20190504,,
강원,춘천,중앙로,132112,95.43,29,710,0.002,0.001,0.005,2019050319,,,0.002,0.004,20190508,,
강원,춘천,석사동,132113,99.46,31,740,0.003,0.001,0.006,2019050320,,,0.002,0.005,20190508,,
강원,강릉,옥천동,632132,99.32,31,739,0.002,0.001,0.006,2019052201,,,0.001,0.003,20190508,,
강원,원주,중앙동,632121,99.46,31,740,0.002,0.001,0.008,2019050411,,,0.001,0.004,20190504,,
강원,원주,명륜동,632122,95.96,29,714,0.002,0.001,0.007,2019050411,,,0.002,0.004,20190504,,
강원,원주,문막읍,632124,99.32,31,739,0.003,0.001,0.008,2019050411,,,0.002,0.004,20190504,,
강원,동해,천곡동,632151,99.32,31,739,0.002,0.001,0.012,2019051109,,,0.001,0.004,20190511,,
강원,삼척,남양동,632161,99.46,31,740,0.002,0.001,0.006,2019050514,,,0.001,0.003,20190505,,
